,Quality Rating
0,100.0
1,99.65111460638914
2,100.0
3,99.18814856739854
4,64.83852725714961
5,99.32532874978376
6,100.0
7,99.02493926739855
8,99.39873738979078
9,100.0
10,100.0
11,99.9603607553
12,99.7673230124559
13,99.5795018096366
14,63.68246282370393
15,98.48721336912395
16,99.4893532822854
17,98.58027251541336
18,99.24542405973392
19,99.34837090584757
20,99.21258470070059
21,99.9025623983282
22,91.86878905788299
23,99.73797779611004
24,98.44408573499729
25,98.90783120506725
26,76.33878418302929
27,99.72059714807979
28,98.47511887038736
29,100.0
30,99.89099938684531
31,98.87160976018629
32,99.76871772937996
33,98.77945120511511
34,98.38317208376344
35,19.413715259321265
36,100.0
37,98.61346140935545
38,100.0
39,100.0
40,100.0
41,98.49400174342846
42,99.8708581980625
43,47.57074053762094
44,99.07219554386623
45,99.01606287817349
46,97.01373600308892
47,98.47821814018592
48,100.0
49,100.0
50,98.97731166725197
51,34.96791833958865
52,96.27844930183257
53,100.0
54,98.87321072783595
55,100.0
56,30.23407301554093
57,98.63263138231238
58,98.60609019108377
59,100.0
60,100.0
61,99.54669835574347
62,99.26345420822848
63,99.05450041984308
64,98.58211864680327
65,100.0
66,100.0
67,98.65329688614912
68,99.49907073922427
69,98.7708851352636
70,98.63161846318502
71,43.6596025627899
72,73.06030018870993
73,100.0
74,96.24545512470347
75,100.0
76,98.4341445985565
77,100.0
78,98.81418154085792
79,100.0
80,98.63109946420636
81,100.0
82,100.0
83,73.97303374305898
84,98.43715707101877
85,100.0
86,98.94785813299033
87,99.04206112469711
88,98.777207162681
89,98.73202243023485
90,100.0
91,98.43897323119724
92,100.0
93,94.93150779413071
94,100.0
95,98.60760254864269
96,99.24619858770944
97,99.94920755042487
98,100.0
99,100.0
100,99.95014021146196
101,99.2966750870233
102,100.0
103,100.0
104,100.0
105,100.0
106,100.0
107,99.27697942040174
108,98.49951179011873
109,98.58336487516635
110,55.93031209340811
111,100.0
112,98.74693486490425
113,99.08146909066961
114,100.0
115,98.62950030897056
116,100.0
117,98.53811191828623
118,98.11863653217812
119,98.62653026367758
120,100.0
121,99.14249555398575
122,15.276531295373502
123,100.0
124,99.00468486078852
125,88.07459735829843
126,100.0
127,98.44590902576172
128,98.9673715568466
129,100.0
130,100.0
131,100.0
132,100.0
133,98.64597574656419
134,99.62603469077193
135,100.0
136,98.66101963701342
137,100.0
138,98.65189542469943
139,100.0
140,100.0
141,65.96103208905795
142,100.0
143,98.83437707329169
144,98.91147533835287
145,98.94477953397674
146,98.62601819607816
147,99.25775577081671
148,100.0
149,99.29310067157685
150,56.98638050215101
151,99.81555941064127
152,100.0
153,100.0
154,13.217906812302715
155,99.51680851887308
156,98.88635049898149
157,99.55903881072813
158,82.18946328205492
159,99.59691681194732
160,98.51975372967615
161,98.52232328485454
162,99.088376691022
163,99.04440813520746
164,98.71592748299021
165,99.70608039701814
166,99.7107773288214
167,98.90405108903845
168,100.0
169,98.66174892905003
170,98.42608127938462
171,100.0
172,98.61010005339513
173,54.831026718298986
174,100.0
175,100.0
176,65.7412781283306
177,98.52285827672415
178,98.87952037470387
179,100.0
180,99.85209269714042
181,66.75503584663859
182,99.05592184416969
183,99.32546571524234
184,86.5348494114776
185,100.0
186,99.73697943704546
187,98.75960042922249
188,100.0
189,98.74728855133239
